loc_name,dc_city,division_name,dept_name,family_name,class_name,item,item_desc,av_cost,min_stock,max_stock,in_transit_qty,default_wh,tabc,item_status,rtv_nrtv,stock_on_hand,total_soh,total_value,date,family_name
SM Vijayawada NBS Ongole,Vijayawada,BDF,Frozen & Dairy,Long Life Dairy,UHT Milk,100162390,Visakha Dairy Good Milk UHT Slim Brik 500 ml,20,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Long Life Dairy
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Home Care,Housekeeping,Pooja Needs,100655342,Prarthana Scented Diya Wat 20 N Jar,34.64,5,5,0,121,,ACTIVE,NRTV,24,24,831.36,2023-03-13,Housekeeping
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Shaving,Pre Shave & accessories,100121782,Gillette Fat Foamy Shaving Foam Regular 418 ml Can,169.5508,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Shaving
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Processed Food,Snack,Indian Snacks,100071851,Bhikharam Chandmal All In One 200 Gm,30.3589,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Snack
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Processed Food,Culinary,Spreads & Dressings,100441787,Fun FoodsMayonnaise Veg 875 gm pouch,153.5714,0,0,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Culinary
SM Vijayawada NBS Ongole,Vijayawada,General Merchandise,Home Needs & Home Upkeep,Home Upkeep,Cleaning Accessories,100107374,More Essentials 110% Scouring Pad Heavy Duty 7Cm X 7Cm,6.39,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Home Upkeep
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Skin Care,Facial Cleanser,100007322,Ponds White Beauty Pinkish White Glow Facial Foam 100 Gm.,120.3941,3,3,0,121,,ACTIVE,NRTV,4,4,481.5764,2023-03-13,Skin Care
SM Vijayawada NBS Ongole,Vijayawada,General Merchandise,Leisure,Toys,Boy Toys,100837205,Hotwheels Clip strip FSU,0.01,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Toys
SM Vijayawada NBS Ongole,Vijayawada,BDF,Bakery,Rusk & Khari,Rusk,100148291,Britannia Rusk Premium Bake 400 gm,44.46,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Rusk & Khari
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Home Care,Laundry,In-Wash,100166614,Surf Excel Matic Detergent Powder Front Load 2 Kg.,424.3501,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Laundry
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Baby,Baby Wipe,100129267,Himalaya Baby Wipes 72 S,110.1695,4,4,0,121,,ACTIVE,NRTV,4,4,440.678,2023-03-13,Baby
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Personal Wash,Soap,100130172,Fiama Soap Blkcrt & Bearberry (Exotic Drm) 3x125gm Mulitpk,165.3564,5,5,0,121,,ACTIVE,NRTV,2,2,330.7128,2023-03-13,Personal Wash
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Deodorants and Talcs,Men Deodorant,101981003,Engage Engage Deo Spray Ocean Zest 150ml 150 ml Can,136.2966,3,4,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Deodorants and Talcs
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Beverages,Fruit Juice & Drink,Fruit Drinks,102118126,Frooti Tetra 125 ml Tetra Pk,6.875,0,0,0,121,,ACTIVE,,0,0,0,2023-03-13,Fruit Juice & Drink
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Baby,Baby Wipe,100138701,MY Baby Wipes Cherry Blossom 80s Pouch,61.33,0,0,0,121,,ACTIVE,NRTV,21,21,1287.93,2023-03-13,Baby
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Personal Wash,Liquid Hand Soap,100141020,Dettol Handwash Original Pump 200 ml,74.745,2,2,0,121,,ACTIVE,NRTV,6,6,448.47,2023-03-13,Personal Wash
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Processed Food,Confectionery,Indian Confectionery and Sweet,101999012,Lal Sweet Kaju katli 200 gm Box,122.2619,2,2,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Confectionery
SM Vijayawada NBS Ongole,Vijayawada,General Merchandise,Home Needs & Home Upkeep,Kitchen Accessories,Bottles,102119116,Jaipet LEONY FRIDGE BOTTLE 4 PCS.SET ONE FOUR 72 nos Pet Bottle,64,2,2,0,121,,ACTIVE,,0,0,0,2023-03-13,Kitchen Accessories
SM Vijayawada NBS Ongole,Vijayawada,BDF,Frozen & Dairy,Ice Cream and Dessert,Impulse,100197349,Cream Bell MULTI RIPPLES Sundae 140 ml Cup,11.2303,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Ice Cream and Dessert
SM Vijayawada NBS Ongole,Vijayawada,Fresh,F&V,Vegetables,Freshness Relevant,100175684,American Sweet Corn-,22.1,,,0,121,,PURCHASE BLOCKED,NRTV,0,0,0,2023-03-13,Vegetables
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Processed Food,Culinary,Pickle and Chutney,102059421,Apis Apis Lime Pickle 400 gm Bottle.,39.6428,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Culinary
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Processed Food,Baby Food,Baby Complementary Food,100018734,Cerelac Baby Food Stage 1 Wheat 300 Gm,149.0254,0,0,0,121,,ACTIVE,RTV,0,0,0,2023-03-13,Baby Food
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Breakfast,Cereal Bar,Granola Bar,100528822,Yoga BarVanilla Almond38 gm Bar,25.6787,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Cereal Bar
SM Vijayawada NBS Ongole,Vijayawada,Others,Non Trading,Non Trading,Non Trading Non Merchandise,100720089,White Paper Bag 11 X 17,1.17,588,588,0,121,,ACTIVE,RTV,1000,1000,1170,2023-03-13,Non Trading
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Breakfast,Health Mix,Brown Drink,101766721,Pediasure 7+ Vanilla 400 gm Box,373.3288,5,5,0,121,,ACTIVE,NRTV,4,4,1493.3152,2023-03-13,Health Mix
SM Vijayawada NBS Ongole,Vijayawada,Staples,Edible Oil & Ghee,Ghee,Ghee,102093351,Tirumala COW GHEE 1LTR POUCH 1 ltr Pouch,412.5,0,0,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Ghee
SM Vijayawada NBS Ongole,Vijayawada,Staples,Spices-Dry Fruits & Organics,Spices and Dry Fruits,Dry Fruits,100798327,More.Choice Mix Dry Fruit200 gm Pouch,68.2602,7,7,0,121,,ACTIVE,NRTV,3,3,204.7806,2023-03-13,Spices and Dry Fruits
SM Vijayawada NBS Ongole,Vijayawada,Fresh,F&V,Fruit,Regular,100115529,DU Custerd Apple.,62,,,0,121,,PURCHASE BLOCKED,NRTV,0,0,0,2023-03-13,Fruit
SM Vijayawada NBS Ongole,Vijayawada,Staples,Edible Oil & Ghee,Edible Oil,Premium Oil,101390970,Cycle Om Shanthi Sadana Jasmine Pooja oil 1 ltr,167.4107,14,14,0,121,,ACTIVE,RTV,8,8,1339.2856,2023-03-13,Edible Oil
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Skin Care,Lip Care,100175844,Nivea Lip Care Fruity Shine Peach 4.8 Gm,123.856,0,0,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Skin Care
